,조이혼율_pre,GNI 증감률_pre,조혼인율_pre,여성초혼 연령_pre,주택가격지수_전국_pre,출생아수_pre,출생아수
2023-01-01,1.3193724764224353,3.7927267132548734,-0.06052558001348787,0.01045877573264435,-0.15417102417908404,-0.13043484457440932,218638.35512618086
2024-01-01,0.9885369144039303,-3.4903681851063246,0.0031464695937141185,-0.0073999759892144044,-0.14450972259291256,-0.0851063185467011,200800.58346954605
2025-01-01,0.7401405203246612,5.57038070274366,-0.07534335456377926,0.006240082623068641,-0.04295795596784967,0.031706680338377285,207269.34464066735
2026-01-01,0.8131392705875793,-7.021446052977492,0.00435175252839496,-0.01304928192848935,-0.00045257903143591793,-0.05759711293394526,195668.46664450096
2027-01-01,1.1446114098474125,7.194065743391718,-0.20821446707127475,0.017053998954695546,0.030411444726677617,-0.20319197646011525,159689.06845632856
2028-01-01,1.4173476092837,-10.519772225450795,-0.02197683418240387,-0.014000745040473583,-0.09724210064786715,-0.15269932430158484,137075.0032478671
2029-01-01,1.3169403659773842,12.942021695785131,-0.2127142303744856,0.02883247732388916,-0.03513887894208073,-0.1687472917879824,115790.16286414782
2030-01-01,1.207157022389703,-17.05824412098388,0.07457503383945681,-0.02736754156427435,-0.05275707571147842,-0.0892196687267998,105906.76562582854
2031-01-01,1.244009399826053,22.44563767163771,-0.28821756236363955,0.043417000457267624,0.05006818185858142,-0.1039985695349046,95445.89410870535
2032-01-01,1.27690085677808,-28.47051819256129,0.16255323321874057,-0.0472641710306287,-0.13296263168326578,-0.06830613254304994,89143.96613865742
2033-01-01,1.1486767158757458,36.18449119801331,-0.4338235229404359,0.0687799366804034,-0.01221794679422361,-0.20404218527108609,72690.29890000922
2034-01-01,0.9961647110947955,-46.053402347546545,0.3678968363446163,-0.08413205679846718,-0.20499739632160774,-0.08620839904377203,66686.21752996424
2035-01-01,0.8994688365545502,59.68406496973545,-0.6293806198291174,0.10743771948453426,0.1148341399923567,-0.18643227074908347,55343.706768547156
2036-01-01,0.984142040291127,-77.37424986164824,0.6172973520167697,-0.13892864643179909,-0.23069063637230047,0.006815868346276066,55722.217477783815
2037-01-01,0.9877204513786322,98.28066836024293,-1.0465452275829488,0.18149641855949106,0.2020821868612115,-0.3,41279.77482255218
2038-01-01,1.0642341522519634,-126.76031337878906,1.0601797441189966,-0.22741697388986262,-0.3767899497169027,-0.017855354680663904,40549.23339354576
2039-01-01,0.9397576229352964,162.78336946129963,-1.6167744322925377,0.29775834238003185,0.3536182900015432,-0.3,30039.35175083493
2040-01-01,0.8940217278017331,-208.98954167790052,1.8611957877318057,-0.37730783070007884,-0.6089390931572103,0.16973725379149618,35596.62029701144
2041-01-01,0.6855866344608152,268.2778772256375,-2.616007698404619,0.48862806392000596,0.6095040674591381,-0.3,26370.365728935398
2042-01-01,0.8026573497905805,-344.3699084544438,3.1076109664151916,-0.6250094430783706,-0.967715149314957,0.3,35596.62029701144
2043-01-01,0.5534639508012624,442.57304665562543,-4.2379014831504165,0.8036474344445955,1.0444373553126622,-0.3,26370.365728935398
2044-01-01,0.7519436803135093,-568.6392312517203,5.202115902559902,-1.032376402198616,-1.5359774831723563,0.3,35596.62029701144
2045-01-01,0.4413604184472497,729.9445244202805,-6.935874856017852,1.3252515190115035,1.7898397959170484,-0.3,26370.365728935398
2046-01-01,0.8720782468965709,-937.7733161247144,8.633046106375549,-1.7023516727064918,-2.4771102746250637,0.3,35596.62029701144
2047-01-01,0.3486397974441715,1203.835828438618,-11.379129551028043,2.1868877316262347,3.0062289603054353,-0.3,26370.365728935398
2048-01-01,1.0009035693628832,-1546.475280813679,14.317927967520284,-2.8071519652411068,-4.032752955570622,0.3,35596.62029701144
2049-01-01,0.11371358739528148,1986.066360835096,-18.680257987441635,3.6067895823316682,5.001725745709763,-0.3,26370.365728935398
2050-01-01,1.1707330550101887,-2550.8143345366234,23.702218320414964,-4.631129540292463,-6.6264031208802265,0.3,35596.62029701144
2051-01-01,-0.34483412302010663,3275.9054042196926,-30.727840848440003,5.948035481247292,8.277688453843048,-0.3,26370.365728935398
2052-01-01,1.410545317997972,-4207.249696751291,39.174938599738624,-7.640251821718195,-10.865677188021778,0.3,35596.62029701144
2053-01-01,-0.9635498940216678,5403.35536285077,-50.606971246830476,9.809869512870662,13.734637593100587,-0.3,26370.365728935398
2054-01-01,2.02930731208005,-6939.761829638038,64.69265057644647,-12.601557178105878,-17.86213910169181,0.3,35596.62029701144
2055-01-01,-1.8715039697525242,8912.31245606072,-83.40034217985503,16.18180028993661,22.70576995341935,-0.3,26370.365728935398
2056-01-01,3.081944005997684,-11446.407570011082,106.78426849207577,-20.784666152723517,-29.397851320055196,0.3,35596.62029701144
2057-01-01,-3.333962563152909,14700.477365955245,-137.4704874847951,26.69124068976885,37.52147927641283,-0.3,26370.365728935398
2058-01-01,4.833387572015113,-18880.11065816195,176.22415178054217,-34.28209257579822,-48.42574489783016,0.3,35596.62029701144
2059-01-01,-5.738932862806223,24247.48754889311,-226.66259606092675,44.02604707860816,61.94492916580043,-0.3,26370.365728935398
2060-01-01,7.751593057169089,-31141.15370804866,290.7614390760107,-56.54568990927255,-79.81957431005844,0.3,35596.62029701144
