,2022
0세,249089.5
1세,269686.5
2세,291777
3세,319980.5
4세,348195.5
5세,388283
6세,428629
7세,442536.5
8세,440966
9세,465442.5
10세,482777.5
11세,474656
12세,460535
13세,458052
14세,481776.5
15세,472035
16세,442016
17세,453686
18세,481561
19세,491634.5
20세,524275.5
21세,595963.5
